date,title,location,salary,company_industry,education,prior_experience,bonus,stocks,total_comp,additional_benefits,tenure_length_period,tenure_length_period_units,survey_year
2020-12-28,Data Scientist,"Houston, TX, USA","140,000",Oil and Gas,Masters in Applied Statistics,2yrs of actuarial experience,,15-30% bonus  (no bonus this year of course due to Covid,"140,000I'm about to accept a new job that will be include a nice paycut (125K) just to get out of O&amp;G.  The industry is on a downturn and I think now is a good time move on.  The premium pay is no longer worth the instability",FALSE,3,years,2020
2020-12-28,Program Analyst,NA,86000,Federal Gov't (non defense,M.Ed,8 years at same agency in administrative positions,Nope,NA,NA,FALSE,1,years,2020
2020-12-28,Data Scientist,NA,"85,000",Defense,Masters of Science in Data Science,"3 years as research assistant (statistics), 2 years graduate research assistant (data science), 1 year data intern (government position), 1/2 year analyst intern   * Note all my previous expirience was while I was in school not full time positions, my current position is my first position since school",N/A,"2,000","87,000",FALSE,1,years,2020
2020-12-28,Senior Software Engineer (ML,NA,240k,Fintech,B.S. Stats tier 2 school,"1 year in finance industry, 1.5 years in small tech, both as DS. 1 year co-oping at hedge funds while in school",60k,60k,"360kMy last job I was a data scientist with 140k comp, decided to switch over to ML Engineering for a larger than expected pay bump",FALSE,6,months,2020
2020-12-28,Data Science Consultant,"London, UK","65,000",Large Tech Company,PhD,3 years as data science consultant for another similar firm,,incentive (3 year vest)  - 23% annual bonus,"90,000 w/ bonus, stock &amp; benefits",FALSE,2,years,2020
2020-12-28,Senior Business Analyst (part of an analytics team,"Pacific Northwest, Cariboo, BC V0L 1H0, Canada","120,000",FAANG,BS in completely unrelated field,4 yrs in previous SBA role - 3 yrs in Financial Analyst role,"45,000 YR 1 / $38,000 YR 2","125,000 RSU*** **Total comp: Year 1","168,000****I  work on a highly skilled analytics team. My technical experience is lacking compared to most of the people I work with and I'm one of the only members of the team without a post-grad education but I somehow made it through the grueling interview process and landed a spot on the team. It's challenging work but nothing I haven't been able to handle so far",FALSE,2,months,2020
2020-12-28,Data Scientist,NA,NA,NA,NA,NA,NA,NA,Total** **comp**: Variable; see bonus. Low 170s this year,FALSE,4,years,2020
2020-12-28,Senior Data Scientist Lead,"Chicago, IL, USA","135,000",Large corporation in biotech/agrotech,PhD,Joined current employer directly out of grad school   * **$Internship:** 3 Summer Internships as Graduate Student,Full relocation costs + $5500,18% annual bonus (depends on company performance)   * 15% Long Term Incentive (4 year vest,"180,000 with full bonus and LTI",FALSE,7,years,2020
2020-12-28,Data Scientist,"Midwest City, OK, USA",74000,Digital Advertising,MS,"5 years quality assurance/software engineering "" $Internship None "" $Coop None",0,2000 if we meet utilization targets (rarely happens,76000 - agency pay is absolute garbage,FALSE,2,years,2020
2020-12-28,Data Scientist,"Arlington County, Arlington, VA, USA","93,000","Government Contract* **Education:** BA in Mathematics* **Prior Experience:** Data Analyst for 1.5 years   * **$Internship** on-campus Data Science Intern while undergrad   * **$Coop*** **Relocation/Signing Bonus:** * **Stock and/or recurring bonuses:** 5%* **Total comp:** $97,650 + ~$10,000 for Education Assistance = ~$107,650",BA in Mathematics,Data Analyst for 1.5 years   * **$Internship** on-campus Data Science Intern while undergrad   * **$Coop,,5,"97,650 + ~$10,000 for Education Assistance = ~$107,650*Education Assistance is how much they are paying for my grad school programSide note my pay increased by $35k going from Data Analyst -&gt; Data Scientist",FALSE,6,months,2020
2020-12-28,Data Scientist,"San Francisco Bay Area, CA, USA",140k,FAANG/Tech Unicorn,Non-US) BSc Econ/Stats (US) Master's Financial Eng,2 internships in quant asset management/hedge fund,es:** 60k/yr options on publicly traded,appreciated to \~80k since,200k,FALSE,1,years,2020
2020-12-28,Informatics Manager,"New York, NY, USA",160k,Healthcare,PhD,"2 years as a data scientist, 2 years in health IT "" $Internship "" $Coop",NA,NA,160k,FALSE,1,years,2020
2020-12-28,Analytics Manager (individual contributor,"Chicago, IL, USA",107k,travel technology,"BA in Communication, halfway through an MSDS","3 years in a prior analytics role, 12 years before that in traditional marketing roles","eligible annually, and merit based","awards that start vesting after a year (last year I got $20k, not sure how common these are given out",107-121k (base + bonus,FALSE,1.5,years,2020
2020-12-28,Data Scientist,Austria,NA,NA,Bsc in Comp. Sci,NA,NA,NA,NA,FALSE,2,years,2020
2020-12-28,Data Scientist,"West Coast, USA","375,000",FAANG,Masters,E-Commerce,,0,"375,000",FALSE,6,months,2020
2020-12-28,Machine Learning Manager,"Greater Toronto Area, ON, Canada",120k,fast food lul,MSc in Statistics,2 years as MLE at various startups   * NLP research (industry collaborator) with a large AI research lab in Toronto   * ML research as a graduate researcher in a genomics lab,additional,compensation after first year,150k,TRUE,NA,unknown,2020
2020-12-28,Jr.) Data Scientist,Netherlands,40.0000,Finance,Technical MSc,About 1.5 years of mostly internships and programming side-jobs,,"8% of total salary ""holiday pay"" in May + 13th month in December + ¬2k set bonus. Total just over ¬9000. Also significant contribution to pension plan/401K, which is mandatory here","49.000, which is about $60.000 (excl. 401k contribution).I think this is above average here for someone with little working experience",FALSE,1,years,2020
2020-12-28,Data Scientist,"Dallas, TX, USA",91k,Finance,B.S. Economics (state school) 2019. Minor in Physics,Internships and research assistant (semi-related,10k,n/a,91kI'm seriously considering getting a master's because I'm scared I'll be a tough hire elsewhere and want to relocate eventually. I feel pretty lucky to have this role,FALSE,1.5,years,2020
2020-12-28,Machine Learning Engineer,"Copenhagen, Denmark","480,000dkk (78k USD",Media intelligence,"MSc Software Development, BEng Mechanical Engineering",NA,n/a,n/a,78k USDPretty standard starting salary for tech jobs in Denmark. I work in a very small team. I'd be looking at moving off to the UK or Canada in the next year or so (US would probably be a headache with Australian worker E3 visa stuff,FALSE,1,years,2020
2020-12-28,"Senior Data Scientist (fought to get the title change, salary hasn't caught up yet","Boston, MA, USA","98,000",Major financial services company,MS in Statistical Practice,"pre-DS career teaching   * Interned at the same company I work for now at like $28/hour, then same rate as part-time while finishing my MS",Nope,20% bonus eligible (which means I get around 18% actually,"115k annual, good benefits (health, high 401k match, $2k/year towards student loans",FALSE,1.5,years,2020
