Book Name,Author,Average Rating,Number of Ratings,Score on Goodreads
To Kill a Mockingbird,Harper Lee,4.26,6129090,17358.0
1984,George Orwell,4.19,4604557,15474.0
Pride and Prejudice,Jane Austen,4.29,4273146,15135.0
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,10063128,12440.0
The Great Gatsby,F. Scott Fitzgerald,3.93,5244056,10828.0
Jane Eyre,Charlotte Brontë,4.15,2095866,10613.0
Lord of the Flies,William Golding,3.69,2906413,10098.0
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,564072,9225.0
The Lord of the Rings,J.R.R. Tolkien,4.53,676596,9201.0
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.29,3977772,9013.0
Brave New World,Aldous Huxley,3.99,1856972,8210.0
Animal Farm,George Orwell,3.99,3888446,8113.0
Fahrenheit 451,Ray Bradbury,3.97,2419826,7773.0
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,1842386,7746.0
Wuthering Heights,Emily Brontë,3.89,1807130,7546.0
Crime and Punishment,Fyodor Dostoevsky,4.27,905025,7116.0
The Little Prince,Antoine de Saint-Exupéry,4.32,2113912,7014.0
The Picture of Dorian Gray,Oscar Wilde,4.12,1537021,6870.0
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood (Goodreads Author),4.14,2049156,6708.0
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.27,651321,6600.0
The Adventures of Huckleberry Finn,Mark Twain,3.83,1266004,6432.0
The Catcher in the Rye,J.D. Salinger,3.8,3526525,6348.0
Little Women,Louisa May Alcott,4.15,2235594,6028.0
Great Expectations,Charles Dickens,3.79,803182,5961.0
Frankenstein,Mary Wollstonecraft Shelley,3.87,1599207,5798.0
The Count of Monte Cristo,Alexandre Dumas,4.3,914346,5708.0
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,732776,5566.0
The Grapes of Wrath,John Steinbeck,4.01,907084,5524.0
Gone with the Wind,Margaret Mitchell,4.31,1208289,5495.0
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1479800,5349.0
Anna Karenina,Leo Tolstoy,4.09,848706,4854.0
Of Mice and Men,John Steinbeck,3.88,2549244,4851.0
Sense and Sensibility,Jane Austen,4.08,1190719,4828.0
The Old Man and the Sea,Ernest Hemingway,3.8,1149486,4715.0
Lolita,Vladimir Nabokov,3.88,850827,4645.0
Catch-22,Joseph Heller,3.99,831569,4638.0
One Hundred Years of Solitude,Gabriel García Márquez,4.11,972089,4525.0
Rebecca,Daphne du Maurier,4.24,629596,4393.0
The Name of the Rose,Umberto Eco,4.14,364882,4259.0
Madame Bovary,Gustave Flaubert,3.7,334816,4185.0
"Dune (Dune, #1)",Frank Herbert,4.27,1361916,4157.0
And Then There Were None,Agatha Christie,4.28,1357769,4055.0
The Master and Margarita,Mikhail Bulgakov,4.29,353922,3807.0
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1370369,3800.0
Don Quixote,Miguel de Cervantes Saavedra,3.9,271020,3781.0
A Tale of Two Cities,Charles Dickens,3.87,947673,3732.0
A Clockwork Orange,Anthony Burgess,4.0,712494,3721.0
Emma,Jane Austen,4.05,887050,3680.0
"The Godfather (The Godfather, #1)",Mario Puzo,4.39,420834,3613.0
The Trial,Franz Kafka,3.96,326079,3571.0
War and Peace,Leo Tolstoy,4.16,328398,3439.0
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.98,114475,3365.0
The Remains of the Day,Kazuo Ishiguro (Goodreads Author),4.14,304034,3351.0
The Scarlet Letter,Nathaniel Hawthorne,3.43,865701,3237.0
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,346116,3150.0
The Color Purple,Alice Walker,4.27,686113,3134.0
