PRODUCTID	PRODUCTNDC	NDCPACKAGECODE	PACKAGEDESCRIPTION	STARTMARKETINGDATE	ENDMARKETINGDATE
0002-0013_15810e26-b479-41b8-9d13-9dc503a71a2a	0002-0013	0002-0013-03	3 mL in 1 VIAL, MULTI-DOSE (0002-0013-03) 	04-DEC-09	
0002-0013_15810e26-b479-41b8-9d13-9dc503a71a2a	0002-0013	0002-0013-10	10 mL in 1 VIAL, MULTI-DOSE (0002-0013-10) 	27-JUN-83	
0002-0095_15810e26-b479-41b8-9d13-9dc503a71a2a	0002-0095	0002-0095-00	3 mL in 1 SYRINGE (0002-0095-00) 	29-DEC-15	
0002-0096_15810e26-b479-41b8-9d13-9dc503a71a2a	0002-0096	0002-0096-00	20 mL in 1 VIAL, MULTI-DOSE (0002-0096-00) 	06-JAN-97	
0002-0113_55aa4078-e1e8-4338-b2b5-a9298b3c16e2	0002-0113	0002-0113-03	3 mL in 1 VIAL, MULTI-DOSE (0002-0113-03) 	24-JUN-10	
0002-0113_55aa4078-e1e8-4338-b2b5-a9298b3c16e2	0002-0113	0002-0113-10	10 mL in 1 VIAL, MULTI-DOSE (0002-0113-10) 	27-JUN-83	
0002-0119_55aa4078-e1e8-4338-b2b5-a9298b3c16e2	0002-0119	0002-0119-00	3 mL in 1 SYRINGE (0002-0119-00) 	07-NOV-13	
0002-0121_45c92a9b-de19-4856-ab64-ff84060d5af5	0002-0121	0002-0121-00	3 mL in 1 SYRINGE (0002-0121-00) 	16-JAN-08	
0002-0124_b4ca8ad2-837f-476c-b5aa-a750e032d2ca	0002-0124	0002-0124-00	10 mL in 1 VIAL, MULTI-DOSE (0002-0124-00) 	07-DEC-07	
0002-0124_b4ca8ad2-837f-476c-b5aa-a750e032d2ca	0002-0124	0002-0124-03	3 mL in 1 VIAL, MULTI-DOSE (0002-0124-03) 	10-OCT-00	
0002-0137_b4ca8ad2-837f-476c-b5aa-a750e032d2ca	0002-0137	0002-0137-00	3 mL in 1 SYRINGE (0002-0137-00) 	16-JAN-08	
0002-0485_492f6cbf-92d2-43fd-829a-a1e283330288	0002-0485	0002-0485-04	4 BOTTLE in 1 CONTAINER (0002-0485-04)  / 2000 g in 1 BOTTLE	10-JUL-17	
0002-0485_492f6cbf-92d2-43fd-829a-a1e283330288	0002-0485	0002-0485-18	1 BOTTLE in 1 CONTAINER (0002-0485-18)  / 2000 g in 1 BOTTLE	01-APR-15	
