PRODUCTID	PRODUCTNDC	PRODUCTTYPENAME	NONPROPRIETARYNAME	DOSAGEFORMNAME	STARTMARKETINGDATE	ENDMARKETINGDATE	MARKETINGCATEGORYNAME	LABELERNAME	SUBSTANCENAME	ACTIVE_NUMERATOR_STRENGTH	ACTIVE_INGRED_UNIT	DEASCHEDULE	LISTING_RECORD_CERTIFIED_THROUGH
0002-0013_15810e26-b479-41b8-9d13-9dc503a71a2a	0002-0013	DRUG FOR FURTHER PROCESSING	Insulin human	INJECTION, SOLUTION	19830627		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN HUMAN	100	[iU]/mL		20241231
0002-0095_15810e26-b479-41b8-9d13-9dc503a71a2a	0002-0095	DRUG FOR FURTHER PROCESSING	Insulin human	INJECTION, SOLUTION	20151229		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN HUMAN	500	[iU]/mL		20241231
0002-0096_15810e26-b479-41b8-9d13-9dc503a71a2a	0002-0096	DRUG FOR FURTHER PROCESSING	Insulin human	INJECTION, SOLUTION	19940331		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN HUMAN	500	[iU]/mL		20241231
0002-0113_55aa4078-e1e8-4338-b2b5-a9298b3c16e2	0002-0113	DRUG FOR FURTHER PROCESSING	Insulin human	INJECTION, SUSPENSION	19830627		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN HUMAN	100	[iU]/mL		20241231
0002-0119_55aa4078-e1e8-4338-b2b5-a9298b3c16e2	0002-0119	DRUG FOR FURTHER PROCESSING	Insulin human	INJECTION, SUSPENSION	20131107		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN HUMAN	100	[iU]/mL		20241231
0002-0121_45c92a9b-de19-4856-ab64-ff84060d5af5	0002-0121	DRUG FOR FURTHER PROCESSING	Insulin lispro	INJECTION, SUSPENSION	20070906		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-0124_b4ca8ad2-837f-476c-b5aa-a750e032d2ca	0002-0124	DRUG FOR FURTHER PROCESSING	Insulin lispro	INJECTION, SUSPENSION	19991222		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-0137_b4ca8ad2-837f-476c-b5aa-a750e032d2ca	0002-0137	DRUG FOR FURTHER PROCESSING	Insulin lispro	INJECTION, SUSPENSION	20070906		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-0485_492f6cbf-92d2-43fd-829a-a1e283330288	0002-0485	BULK INGREDIENT	Insulin human	CRYSTAL	20150401		BULK INGREDIENT	Eli Lilly and Company	INSULIN HUMAN	1	g/g		20241231
0002-0535_4e37c37c-aeb5-4c66-924f-6b25b11abf48	0002-0535	BULK INGREDIENT	Insulin lispro	CRYSTAL	20140131		BULK INGREDIENT	Eli Lilly and Company	INSULIN LISPRO	1	g/g		20241231
0002-0770_09336bb8-1a74-4fdb-8f99-febe7fc2f864	0002-0770	BULK INGREDIENT	tirzepatide	POWDER	20230620		BULK INGREDIENT	Eli Lilly and Company	TIRZEPATIDE	1	kg/kg		20241231
0002-0800_55aa4078-e1e8-4338-b2b5-a9298b3c16e2	0002-0800	DRUG FOR FURTHER PROCESSING	diluent	INJECTION, SOLUTION	19870710		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	WATER	1	mL/mL		20241231
0002-0872_83fc33d1-b5d7-494c-bcc7-f1d5f511220d	0002-0872	DRUG FOR FURTHER PROCESSING	Insulin lispro-aabc	INJECTION, SOLUTION	20200615		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-1057_e34aab97-df95-412d-bc77-a265dec1a761	0002-1057	BULK INGREDIENT	Etesevimab	LIQUID	20210209		BULK INGREDIENT	Eli Lilly and Company	ETESEVIMAB	1	g/g		20241231
0002-1076_e2a4f848-408f-442b-b4bc-8fc5d422fcfa	0002-1076	DRUG FOR FURTHER PROCESSING	Insulin glargine	INJECTION, SOLUTION	20151216		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN GLARGINE	100	[iU]/mL		20241231
0002-1099_d0f1d2b3-fc52-414c-b6c4-c63e123b7fb1	0002-1099	DRUG FOR FURTHER PROCESSING	Insulin lispro	INJECTION, SOLUTION	20150526		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	200	[iU]/mL		20241231
0002-1401_70b2e81d-fb7e-48bb-b97d-7f2f26f18c41	0002-1401	DRUG FOR FURTHER PROCESSING	Dulaglutide	INJECTION, SOLUTION	20140922		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	DULAGLUTIDE	.75	mg/.5mL		20241231
0002-1402_70b2e81d-fb7e-48bb-b97d-7f2f26f18c41	0002-1402	DRUG FOR FURTHER PROCESSING	Dulaglutide	INJECTION, SOLUTION	20140922		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	DULAGLUTIDE	1.5	mg/.5mL		20241231
